filename,color_palette
img008_6936488143_o.jpg,"[(8, 9, 9), (179, 198, 197), (83, 90, 100), (119, 137, 143), (97, 106, 145)]"
-_3036742962_o.jpg,"[(189, 170, 129), (46, 24, 20), (185, 30, 27), (232, 234, 227), (179, 114, 44)]"
3463895283_a9ecfc36de_o.jpg,"[(157, 150, 134), (53, 35, 30), (106, 40, 17), (124, 91, 46), (223, 224, 218)]"
mano_4582494987_o.jpg,"[(30, 244, 183), (4, 11, 4), (193, 163, 131), (97, 51, 43), (124, 116, 116)]"
arboles_2771315936_o.jpg,"[(39, 47, 27), (190, 206, 146), (129, 177, 100), (108, 127, 70), (106, 136, 157)]"
3036526788_cd88b41b13_o.jpg,"[(37, 34, 38), (211, 204, 187), (164, 165, 161), (136, 117, 112), (140, 143, 159)]"
atte-la-direccion_4958545009_o.jpg,"[(93, 99, 68), (216, 225, 209), (26, 27, 17), (166, 184, 156), (157, 172, 164)]"
museo-tamayo_5228125468_o.jpg,"[(148, 132, 88), (47, 37, 24), (227, 206, 146), (86, 61, 40), (235, 230, 206)]"
3142376067_9c7d99f13a_o.jpg,"[(42, 46, 46), (226, 218, 212), (143, 138, 129), (170, 177, 167), (158, 157, 169)]"
arte-objeto_4315760859_o.jpg,"[(119, 67, 35), (173, 176, 90), (218, 213, 156), (20, 14, 10), (156, 156, 124)]"
telecine_2755424871_o.jpg,"[(46, 51, 51), (189, 191, 191), (117, 124, 116), (134, 147, 164), (150, 166, 170)]"
colonial-building-draped-in-black_2640119616_o.jpg,"[(224, 230, 229), (14, 13, 20), (100, 92, 96), (134, 136, 135), (120, 120, 143)]"
3216499237_a3f0e8d8b2_o.jpg,"[(203, 169, 116), (43, 20, 17), (130, 78, 54), (156, 132, 76), (154, 116, 108)]"
3216504257_435b3bc35f_o.jpg,"[(88, 119, 82), (200, 207, 202), (150, 172, 186), (10, 14, 11), (156, 204, 158)]"
luz_4967054161_o.jpg,"[(16, 21, 21), (197, 185, 125), (81, 87, 57), (92, 101, 76), (132, 124, 68)]"
plaza-de-las-tres-culturas_4715643373_o.jpg,"[(33, 33, 31), (201, 190, 181), (116, 110, 90), (140, 148, 119), (140, 138, 148)]"
feria-en-la-alameda_4305734290_o.jpg,"[(228, 223, 191), (33, 33, 34), (120, 107, 77), (144, 159, 126), (124, 140, 148)]"
img009_6899105387_o.jpg,"[(211, 173, 103), (48, 57, 47), (139, 186, 182), (153, 108, 61), (103, 141, 160)]"
nueva-entrada-de-la-sala-de-arte-publico-siqueiros_4967659462_o.jpg,"[(39, 41, 31), (198, 206, 188), (139, 161, 113), (113, 133, 90), (128, 142, 150)]"
sillas_5269257717_o.jpg,"[(209, 209, 209), (140, 140, 140), (87, 87, 87), (108, 108, 108), (116, 116, 116)]"
3705440207_e2c01b2e96_o.jpg,"[(214, 216, 208), (60, 64, 62), (122, 87, 84), (130, 128, 121), (141, 118, 92)]"
img082_6991243194_o.jpg,"[(39, 39, 37), (189, 190, 170), (112, 114, 101), (138, 150, 126), (129, 131, 154)]"
torre-de-la-secretaria-de-relaciones-exteriores_4719552964_o.jpg,"[(210, 211, 213), (43, 42, 35), (145, 142, 84), (96, 87, 74), (133, 124, 114)]"
fidel_2755425051_o.jpg,"[(13, 13, 11), (188, 207, 191), (120, 144, 121), (89, 109, 89), (97, 108, 140)]"
dscf8233_2905694637_o.jpg,"[(28, 20, 17), (204, 188, 177), (113, 83, 71), (107, 165, 174), (111, 119, 145)]"
marce_4931505983_o.jpg,"[(210, 205, 178), (32, 27, 25), (126, 107, 88), (151, 157, 140), (140, 136, 152)]"
last-frame_700331375_o.jpg,"[(105, 121, 139), (139, 174, 171), (9, 10, 10), (111, 120, 103), (82, 93, 83)]"
mini-lili_4895993656_o.jpg,"[(141, 139, 66), (40, 34, 31), (193, 212, 198), (208, 208, 117), (65, 72, 65)]"
luisa--minox_498339134_o.jpg,"[(187, 187, 191), (16, 16, 16), (72, 72, 72), (100, 100, 100), (84, 84, 83)]"
arte-objeto_4316495422_o.jpg,"[(48, 34, 13), (192, 198, 138), (129, 113, 43), (163, 157, 75), (151, 140, 100)]"
objetos-en-la-casa_4788321031_o.jpg,"[(193, 243, 236), (40, 45, 37), (143, 239, 239), (125, 109, 76), (53, 123, 187)]"
ciudad-universitaria-1_2639287501_o.jpg,"[(178, 181, 166), (31, 37, 33), (77, 67, 59), (94, 109, 98), (100, 108, 56)]"
sala-gutirrez-alea-eictv_2756037564_o.jpg,"[(59, 35, 21), (222, 165, 124), (154, 90, 50), (166, 171, 160), (139, 137, 152)]"
